createdAt;value_hum;value_pm;value_temp
2019-09-09T22:30:40.000Z;65.80;3.60;13.53
2019-09-09T22:31:40.000Z;65.80;3.30;13.53
2019-09-09T22:32:40.000Z;66.00;3.40;13.51
2019-09-09T22:33:40.000Z;66.21;3.40;13.50
2019-09-09T22:34:40.000Z;66.41;3.80;13.48
2019-09-09T22:35:41.000Z;66.52;4.10;13.47
2019-09-09T22:36:41.000Z;66.61;3.90;13.46
2019-09-09T22:37:41.000Z;66.61;3.80;13.43
2019-09-09T22:38:41.000Z;66.75;4.00;13.43
2019-09-09T22:39:41.000Z;66.85;4.10;13.39
2019-09-09T22:40:41.000Z;67.05;3.80;13.36
2019-09-09T22:41:41.000Z;67.16;3.70;13.32
2019-09-09T22:42:41.000Z;67.16;4.10;13.31
2019-09-09T22:43:41.000Z;67.05;4.70;13.29
2019-09-09T22:44:41.000Z;67.26;4.00;13.27
2019-09-09T22:45:41.000Z;67.57;4.20;13.27
2019-09-09T22:46:42.000Z;67.57;3.70;13.25
2019-09-09T22:47:42.000Z;67.66;4.00;13.24
2019-09-09T22:48:42.000Z;67.87;4.00;13.22
2019-09-09T22:49:42.000Z;67.77;3.90;13.22
2019-09-09T22:50:42.000Z;67.77;4.10;13.21
2019-09-09T22:51:42.000Z;68.07;11.50;13.21
2019-09-09T22:52:42.000Z;68.07;20.10;13.22
2019-09-09T22:53:42.000Z;67.87;16.90;13.24
2019-09-09T22:54:42.000Z;67.77;7.70;13.27
2019-09-09T22:55:42.000Z;67.57;3.70;13.25
2019-09-09T22:56:42.000Z;67.46;3.80;13.22
2019-09-09T22:57:42.000Z;67.80;3.70;13.21
2019-09-09T22:58:43.000Z;68.01;3.10;13.17
2019-09-09T22:59:43.000Z;68.21;3.70;13.17
2019-09-09T23:00:43.000Z;68.21;4.70;13.16
2019-09-09T23:01:43.000Z;68.31;4.10;13.16
2019-09-09T23:02:43.000Z;68.31;4.30;13.13
2019-09-09T23:03:43.000Z;68.31;4.20;13.09
2019-09-09T23:04:43.000Z;68.51;3.90;13.07
2019-09-09T23:05:43.000Z;68.41;4.00;13.06
2019-09-09T23:06:43.000Z;68.62;3.10;13.01
2019-09-09T23:07:43.000Z;68.82;3.40;12.99
2019-09-09T23:08:43.000Z;68.92;3.20;12.98
2019-09-09T23:09:43.000Z;69.02;3.70;12.98
2019-09-09T23:10:44.000Z;69.02;3.80;12.96
2019-09-09T23:11:44.000Z;69.15;3.80;12.96
2019-09-09T23:12:44.000Z;69.15;3.40;12.94
2019-09-09T23:13:44.000Z;69.26;3.40;12.92
2019-09-09T23:14:44.000Z;69.06;3.90;12.91
2019-09-09T23:15:44.000Z;69.15;3.60;12.92
2019-09-09T23:16:44.000Z;68.95;2.90;12.89
2019-09-09T23:17:44.000Z;69.26;3.00;12.88
2019-09-09T23:18:44.000Z;69.46;3.30;12.88
2019-09-09T23:19:44.000Z;69.56;4.10;12.88
2019-09-09T23:20:44.000Z;69.67;3.80;12.88
2019-09-09T23:21:45.000Z;69.67;3.90;12.87
2019-09-09T23:22:45.000Z;69.87;3.70;12.84
2019-09-09T23:23:45.000Z;70.07;3.80;12.81
